nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[1044, 1842]",1899,128,0,1096,57.71458662453923,0:00:00.000020
1,2,0.1,2,"[1658, 1388]",1899,129,0,1098,57.81990521327014,0:00:00.000019
1,2,0.1,2,"[574, 1202]",1899,130,0,1100,57.92522380200106,0:00:00.000032
1,2,0.1,2,"[1859, 1823]",1899,131,0,1102,58.030542390731966,0:00:00.000021
1,2,0.1,2,"[1369, 37]",1899,132,0,1104,58.13586097946287,0:00:00.000019
1,2,0.1,2,"[1602, 900]",1899,133,0,1106,58.24117956819379,0:00:00.000019
1,2,0.1,2,"[1560, 826]",1899,134,0,1108,58.346498156924696,0:00:00.000020
1,2,0.1,2,"[1448, 1134]",1899,135,0,1110,58.451816745655606,0:00:00.000020
1,2,0.1,2,"[1782, 1819]",1899,136,0,1112,58.55713533438652,0:00:00.000025
1,2,0.1,2,"[1094, 467]",1899,137,0,1114,58.66245392311743,0:00:00.000192
1,2,0.1,2,"[1541, 347]",1899,138,0,1116,58.767772511848335,0:00:00.000043
1,2,0.1,2,"[1140, 1880]",1899,139,0,1118,58.87309110057926,0:00:00.000047
1,2,0.1,2,"[894, 1003]",1899,140,0,1120,58.97840968931016,0:00:00.000047
1,2,0.1,2,"[271, 1850]",1899,141,0,1122,59.08372827804107,0:00:00.000050
1,2,0.1,2,"[1206, 1584]",1899,142,0,1124,59.18904686677199,0:00:00.000044
1,2,0.1,2,"[1824, 487]",1899,143,0,1126,59.2943654555029,0:00:00.000046
1,2,0.1,2,"[880, 720]",1899,144,0,1128,59.3996840442338,0:00:00.000047
1,2,0.1,2,"[693, 171]",1899,145,0,1130,59.50500263296472,0:00:00.000044
1,2,0.1,2,"[895, 39]",1899,146,0,1132,59.61032122169563,0:00:00.000029
1,2,0.1,2,"[1668, 851]",1899,147,0,1134,59.71563981042654,0:00:00.000028
1,2,0.1,2,"[1710, 974]",1899,148,0,1136,59.820958399157455,0:00:00.000026
1,2,0.1,2,"[436, 1699]",1899,149,0,1138,59.92627698788836,0:00:00.000024
1,2,0.1,2,"[1818, 1119]",1899,150,0,1140,60.03159557661928,0:00:00.000023
1,2,0.1,2,"[1743, 1833]",1899,151,0,1142,60.136914165350184,0:00:00.000043
1,2,0.1,2,"[112, 660]",1899,152,0,1144,60.242232754081094,0:00:00.000029
1,2,0.1,2,"[1529, 1633]",1899,153,0,1146,60.34755134281201,0:00:00.000035
1,2,0.1,2,"[192, 1583]",1899,154,0,1148,60.45286993154292,0:00:00.000026
1,2,0.1,2,"[113, 512]",1899,155,0,1150,60.55818852027382,0:00:00.000026
1,2,0.1,2,"[1459, 1707]",1899,156,0,1152,60.66350710900474,0:00:00.000025
1,2,0.1,2,"[1122, 1757]",1899,157,0,1154,60.76882569773565,0:00:00.000042
1,2,0.1,2,"[1666, 450]",1899,158,0,1156,60.87414428646656,0:00:00.000044
1,2,0.1,2,"[1759, 861]",1899,159,0,1158,60.97946287519748,0:00:00.000045
1,2,0.1,2,"[11, 1838]",1899,160,0,1160,61.08478146392839,0:00:00.000047
1,2,0.1,2,"[748, 1751]",1899,161,0,1162,61.19010005265929,0:00:00.000043
1,2,0.1,2,"[1607, 1569]",1899,162,0,1164,61.29541864139021,0:00:00.000207
1,2,0.1,2,"[905, 1558]",1899,163,0,1166,61.400737230121116,0:00:00.000177
1,2,0.1,2,"[870, 246]",1899,164,0,1168,61.506055818852026,0:00:00.000110
1,2,0.1,2,"[982, 529]",1899,165,0,1170,61.61137440758294,0:00:00.000101
1,2,0.1,2,"[1651, 1681]",1899,166,0,1172,61.716692996313846,0:00:00.000035
1,2,0.1,2,"[169, 471]",1899,167,0,1174,61.822011585044756,0:00:00.000029
1,2,0.1,2,"[1370, 213]",1899,168,0,1176,61.92733017377567,0:00:00.000027
1,2,0.1,2,"[896, 1785]",1899,169,0,1178,62.03264876250658,0:00:00.000026
1,2,0.1,2,"[500, 1761]",1899,170,0,1180,62.13796735123749,0:00:00.000023
1,2,0.1,2,"[916, 1446]",1899,171,0,1182,62.24328593996841,0:00:00.000024
1,2,0.1,2,"[383, 858]",1899,172,0,1184,62.34860452869931,0:00:00.000021
1,2,0.1,2,"[1462, 755]",1899,173,0,1186,62.45392311743022,0:00:00.000019
1,2,0.1,2,"[906, 1203]",1899,174,0,1188,62.55924170616114,0:00:00.000021
1,2,0.1,2,"[1816, 17]",1899,175,0,1190,62.66456029489205,0:00:00.000019
1,2,0.1,2,"[643, 77]",1899,176,0,1192,62.769878883622965,0:00:00.000021
1,2,0.1,2,"[1874, 675]",1899,177,0,1194,62.875197472353875,0:00:00.000021
1,2,0.1,2,"[116, 1629]",1899,178,0,1196,62.98051606108478,0:00:00.000021
1,2,0.1,2,"[684, 290]",1899,179,0,1198,63.085834649815695,0:00:00.000060
1,2,0.1,2,"[1605, 736]",1899,180,0,1200,63.191153238546605,0:00:00.000037
1,2,0.1,2,"[827, 1821]",1899,181,0,1202,63.296471827277514,0:00:00.000042
1,2,0.1,2,"[261, 901]",1899,182,0,1204,63.40179041600843,0:00:00.000045
1,2,0.1,2,"[946, 702]",1899,183,0,1206,63.507109004739334,0:00:00.000047
1,2,0.1,2,"[1872, 453]",1899,184,0,1208,63.612427593470244,0:00:00.000054
1,2,0.1,2,"[1243, 1205]",1899,185,0,1210,63.71774618220116,0:00:00.000047
1,2,0.1,2,"[1347, 868]",1899,186,0,1212,63.82306477093207,0:00:00.000045
1,2,0.1,2,"[45, 1829]",1899,187,0,1214,63.92838335966297,0:00:00.000053
1,2,0.1,2,"[227, 1419]",1899,188,0,1216,64.0337019483939,0:00:00.000214
1,2,0.1,2,"[268, 1390]",1899,189,0,1218,64.13902053712481,0:00:00.000040
1,2,0.1,2,"[444, 1680]",1899,190,0,1220,64.2443391258557,0:00:00.000035
1,2,0.1,2,"[1599, 1316]",1899,191,0,1222,64.34965771458663,0:00:00.000046
1,2,0.1,2,"[780, 750]",1899,192,0,1224,64.45497630331754,0:00:00.000040
1,2,0.1,2,"[1095, 54]",1899,193,0,1226,64.56029489204845,0:00:00.000033
1,2,0.1,2,"[1442, 1147]",1899,194,0,1228,64.66561348077936,0:00:00.000033
1,2,0.1,2,"[1075, 65]",1899,195,0,1230,64.77093206951027,0:00:00.000028
1,2,0.1,2,"[255, 1490]",1899,196,0,1232,64.87625065824118,0:00:00.000026
1,2,0.1,2,"[1614, 1456]",1899,197,0,1234,64.9815692469721,0:00:00.000029
1,2,0.1,2,"[744, 935]",1899,198,0,1236,65.086887835703,0:00:00.000122
1,2,0.1,2,"[1175, 1645]",1899,199,0,1238,65.1922064244339,0:00:00.000048
1,2,0.1,2,"[107, 889]",1899,200,0,1240,65.29752501316483,0:00:00.000040
1,2,0.1,2,"[292, 406]",1899,201,0,1242,65.40284360189574,0:00:00.000032
1,2,0.1,2,"[1350, 1538]",1899,202,0,1244,65.50816219062665,0:00:00.000048
1,2,0.1,2,"[1149, 186]",1899,203,0,1246,65.61348077935756,0:00:00.000044
1,2,0.1,2,"[1747, 833]",1899,204,0,1248,65.71879936808847,0:00:00.000112
1,2,0.1,2,"[914, 1731]",1899,205,0,1250,65.82411795681938,0:00:00.000061
1,2,0.1,2,"[1482, 1589]",1899,206,0,1252,65.92943654555029,0:00:00.000254
1,2,0.1,2,"[488, 1364]",1899,207,0,1254,66.0347551342812,0:00:00.000263
1,2,0.1,2,"[1547, 1776]",1899,208,0,1256,66.14007372301212,0:00:00.000040
1,2,0.1,2,"[216, 1389]",1899,209,0,1258,66.24539231174302,0:00:00.000033
1,2,0.1,2,"[89, 1453]",1899,210,0,1260,66.35071090047393,0:00:00.000032
1,2,0.1,2,"[1659, 672]",1899,211,0,1262,66.45602948920485,0:00:00.000033
1,2,0.1,2,"[384, 1653]",1899,212,0,1264,66.56134807793576,0:00:00.000030
1,2,0.1,2,"[1875, 849]",1899,213,0,1266,66.66666666666666,0:00:00.000028
1,2,0.1,2,"[331, 671]",1899,214,0,1268,66.77198525539758,0:00:00.000028
1,2,0.1,2,"[1835, 690]",1899,215,0,1270,66.87730384412849,0:00:00.000029
1,2,0.1,2,"[1165, 1684]",1899,216,0,1272,66.9826224328594,0:00:00.000030
1,2,0.1,2,"[931, 1494]",1899,217,0,1274,67.08794102159031,0:00:00.000031
1,2,0.1,2,"[1728, 692]",1899,218,0,1276,67.19325961032122,0:00:00.000027
1,2,0.1,2,"[1394, 1867]",1899,219,0,1278,67.29857819905213,0:00:00.000070
1,2,0.1,2,"[1772, 1404]",1899,220,0,1280,67.40389678778304,0:00:00.000052
1,2,0.1,2,"[723, 1225]",1899,221,0,1282,67.50921537651395,0:00:00.000049
1,2,0.1,2,"[1439, 1133]",1899,222,0,1284,67.61453396524486,0:00:00.000047
1,2,0.1,2,"[1849, 1723]",1899,223,0,1286,67.71985255397578,0:00:00.000053
1,2,0.1,2,"[115, 650]",1899,224,0,1288,67.82517114270668,0:00:00.000045
1,2,0.1,2,"[1263, 622]",1899,225,0,1290,67.93048973143759,0:00:00.000045
1,2,0.1,2,"[1209, 1677]",1899,226,0,1292,68.03580832016851,0:00:00.000045
1,2,0.1,2,"[1435, 1670]",1899,227,0,1294,68.14112690889942,0:00:00.000124
1,2,0.1,2,"[606, 846]",1899,228,0,1296,68.24644549763033,0:00:00.000042
1,2,0.1,2,"[1856, 1156]",1899,229,0,1298,68.35176408636124,0:00:00.000034
1,2,0.1,2,"[1804, 1035]",1899,230,0,1300,68.45708267509215,0:00:00.000030
1,2,0.1,2,"[664, 71]",1899,231,0,1302,68.56240126382306,0:00:00.000028
1,2,0.1,2,"[1810, 153]",1899,232,0,1304,68.66771985255397,0:00:00.000028
1,2,0.1,2,"[258, 240]",1899,233,0,1306,68.77303844128488,0:00:00.000026
1,2,0.1,2,"[1077, 955]",1899,234,0,1308,68.8783570300158,0:00:00.000022
1,2,0.1,2,"[179, 1679]",1899,235,0,1310,68.98367561874672,0:00:00.000026
1,2,0.1,2,"[804, 1889]",1899,236,0,1312,69.08899420747761,0:00:00.000021
1,2,0.1,2,"[1254, 1251]",1899,237,0,1314,69.19431279620854,0:00:00.000134
1,2,0.1,2,"[1252, 1775]",1899,238,0,1316,69.29963138493945,0:00:00.000144
1,2,0.1,2,"[1055, 930]",1899,239,0,1318,69.40494997367036,0:00:00.000104
1,2,0.1,2,"[378, 18]",1899,240,0,1320,69.51026856240127,0:00:00.000211
1,2,0.1,2,"[634, 200]",1899,241,0,1322,69.61558715113217,0:00:00.000056
1,2,0.1,2,"[446, 428]",1899,242,0,1324,69.72090573986308,0:00:00.000132
1,2,0.1,2,"[1047, 501]",1899,243,0,1326,69.826224328594,0:00:00.000062
1,2,0.1,2,"[457, 854]",1899,244,0,1328,69.9315429173249,0:00:00.000045
1,2,0.1,2,"[1794, 1773]",1899,245,0,1330,70.03686150605581,0:00:00.000114
1,2,0.1,2,"[1330, 362]",1899,246,0,1332,70.14218009478674,0:00:00.000099
1,2,0.1,2,"[1324, 1691]",1899,247,0,1334,70.24749868351763,0:00:00.000121
1,2,0.1,2,"[1574, 1172]",1899,248,0,1336,70.35281727224854,0:00:00.000040
1,2,0.1,2,"[1832, 75]",1899,249,0,1338,70.45813586097947,0:00:00.000044
1,2,0.1,2,"[66, 956]",1899,250,0,1340,70.56345444971038,0:00:00.000040
1,2,0.1,2,"[1807, 1635]",1899,251,0,1342,70.66877303844129,0:00:00.000030
1,2,0.1,2,"[613, 746]",1899,252,0,1344,70.7740916271722,0:00:00.000026
1,2,0.1,2,"[1628, 485]",1899,253,0,1346,70.8794102159031,0:00:00.000025
1,2,0.1,2,"[530, 1820]",1899,254,0,1348,70.98472880463402,0:00:00.000032
1,2,0.1,2,"[14, 585]",1899,255,0,1350,71.09004739336493,0:00:00.000058
1,2,0.1,2,"[1827, 610]",1899,256,0,1352,71.19536598209584,0:00:00.000116
1,2,0.1,2,"[1240, 1654]",1899,257,0,1354,71.30068457082676,0:00:00.000057
1,2,0.1,2,"[1475, 1257]",1899,258,0,1356,71.40600315955766,0:00:00.000047
1,2,0.1,2,"[867, 1787]",1899,259,0,1358,71.51132174828857,0:00:00.000057
1,2,0.1,2,"[1294, 464]",1899,260,0,1360,71.61664033701949,0:00:00.000048
1,2,0.1,2,"[1301, 1683]",1899,261,0,1362,71.7219589257504,0:00:00.000046
1,2,0.1,2,"[1126, 1322]",1899,262,0,1364,71.8272775144813,0:00:00.000035
1,2,0.1,2,"[1852, 1159]",1899,263,0,1366,71.93259610321222,0:00:00.000034
1,2,0.1,2,"[1663, 1734]",1899,264,0,1368,72.03791469194313,0:00:00.000027
1,2,0.1,2,"[1551, 1305]",1899,265,0,1370,72.14323328067404,0:00:00.000032
1,2,0.1,2,"[1805, 1857]",1899,266,0,1372,72.24855186940495,0:00:00.000029
1,2,0.1,2,"[917, 703]",1899,267,0,1374,72.35387045813586,0:00:00.000031
1,2,0.1,2,"[1250, 1351]",1899,268,0,1376,72.45918904686677,0:00:00.000027
1,2,0.1,2,"[1074, 1897]",1899,269,0,1378,72.56450763559769,0:00:00.000028
1,2,0.1,2,"[139, 1813]",1899,270,0,1380,72.66982622432859,0:00:00.000028
1,2,0.1,2,"[506, 1135]",1899,271,0,1382,72.7751448130595,0:00:00.000029
1,2,0.1,2,"[1498, 1201]",1899,272,0,1384,72.88046340179042,0:00:00.000025
1,2,0.1,2,"[1466, 1637]",1899,273,0,1386,72.98578199052133,0:00:00.000022
1,2,0.1,2,"[1085, 23]",1899,274,0,1388,73.09110057925223,0:00:00.000033
1,2,0.1,2,"[201, 1705]",1899,275,0,1390,73.19641916798315,0:00:00.000123
1,2,0.1,2,"[1640, 1216]",1899,276,0,1392,73.30173775671406,0:00:00.000262
1,2,0.1,2,"[1319, 892]",1899,277,0,1394,73.40705634544497,0:00:00.000113
1,2,0.1,2,"[945, 521]",1899,278,0,1396,73.51237493417588,0:00:00.000055
1,2,0.1,2,"[842, 1798]",1899,279,0,1398,73.61769352290679,0:00:00.000059
1,2,0.1,2,"[1048, 1802]",1899,280,0,1400,73.72301211163771,0:00:00.000067
1,2,0.1,2,"[696, 1229]",1899,281,0,1402,73.82833070036861,0:00:00.000052
1,2,0.1,2,"[535, 231]",1899,282,0,1404,73.93364928909952,0:00:00.000043
1,2,0.1,2,"[1760, 1401]",1899,283,0,1406,74.03896787783044,0:00:00.000036
1,2,0.1,2,"[267, 791]",1899,284,0,1408,74.14428646656135,0:00:00.000035
1,2,0.1,2,"[629, 1341]",1899,285,0,1410,74.24960505529225,0:00:00.000034
1,2,0.1,2,"[1613, 1027]",1899,286,0,1412,74.35492364402317,0:00:00.000035
1,2,0.1,2,"[921, 715]",1899,287,0,1414,74.46024223275408,0:00:00.000032
1,2,0.1,2,"[1207, 1228]",1899,288,0,1416,74.565560821485,0:00:00.000030
1,2,0.1,2,"[1304, 1703]",1899,289,0,1418,74.6708794102159,0:00:00.000026
1,2,0.1,2,"[863, 1512]",1899,290,0,1420,74.77619799894681,0:00:00.000022
1,2,0.1,2,"[35, 811]",1899,291,0,1422,74.88151658767772,0:00:00.000021
1,2,0.1,2,"[1830, 1620]",1899,292,0,1424,74.98683517640863,0:00:00.000030
1,2,0.1,2,"[1129, 526]",1899,293,0,1426,75.09215376513954,0:00:00.000125
1,2,0.1,2,"[1704, 633]",1899,294,0,1428,75.19747235387045,0:00:00.000051
1,2,0.1,2,"[1564, 729]",1899,295,0,1430,75.30279094260138,0:00:00.000228
1,2,0.1,2,"[31, 507]",1899,296,0,1432,75.40810953133229,0:00:00.000111
1,2,0.1,2,"[130, 1259]",1899,297,0,1434,75.51342812006318,0:00:00.000133
1,2,0.1,2,"[1486, 206]",1899,298,0,1436,75.6187467087941,0:00:00.000052
1,2,0.1,2,"[1527, 1610]",1899,299,0,1438,75.72406529752502,0:00:00.000121
1,2,0.1,2,"[877, 1162]",1899,300,0,1440,75.82938388625593,0:00:00.000051
1,2,0.1,2,"[1774, 1169]",1899,301,0,1442,75.93470247498684,0:00:00.000078
