nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[1584, 1524]",270,1899,164,0,1026,54.02843601895735,0:00:22.684580
1,2,0.1,2,"[138, 1409]",272,1899,165,0,1028,54.13375460768825,0:00:22.684580
1,2,0.1,2,"[1254, 1668]",274,1899,166,0,1030,54.23907319641916,0:00:22.684580
1,2,0.1,2,"[275, 1610]",276,1899,167,2,1033,54.397051079515535,0:00:22.684580
1,2,0.1,2,"[275, 1610]",276,1899,168,0,1033,54.397051079515535,0:00:22.684580
1,2,0.1,2,"[1537, 730]",278,1899,169,0,1035,54.502369668246445,0:00:22.684580
1,2,0.1,2,"[1030, 1155]",280,1899,170,0,1037,54.60768825697736,0:00:22.684580
1,2,0.1,2,"[1172, 1318]",282,1899,171,0,1039,54.713006845708264,0:00:22.684580
1,2,0.1,2,"[1659, 1680]",284,1899,172,0,1041,54.818325434439174,0:00:22.684580
1,2,0.1,2,"[1677, 1523]",286,1899,173,0,1042,54.870984728804636,0:00:22.684580
1,2,0.1,2,"[1194, 1656]",288,1899,174,0,1044,54.976303317535546,0:00:22.684580
1,2,0.1,2,"[1399, 1075]",290,1899,175,0,1046,55.081621906266456,0:00:22.684580
1,2,0.1,2,"[25, 170]",292,1899,176,0,1048,55.18694049499737,0:00:22.684580
1,2,0.1,2,"[916, 1702]",294,1899,177,1,1051,55.34491837809373,0:00:22.684580
1,2,0.1,2,"[916, 1702]",294,1899,178,0,1051,55.34491837809373,0:00:22.684580
1,2,0.1,2,"[690, 1877]",296,1899,179,0,1052,55.397577672459185,0:00:22.684580
1,2,0.1,2,"[867, 745]",298,1899,180,0,1054,55.5028962611901,0:00:22.684580
1,2,0.1,2,"[807, 1687]",300,1899,181,0,1056,55.60821484992101,0:00:22.684580
1,2,0.1,2,"[1571, 1569]",302,1899,182,0,1058,55.71353343865192,0:00:22.684580
1,2,0.1,2,"[545, 347]",304,1899,183,0,1059,55.76619273301737,0:00:22.684580
1,2,0.1,2,"[1575, 1009]",306,1899,184,0,1060,55.81885202738284,0:00:22.684580
